Round,Accuracy,Loss,Precision,Recall,F1-score
1,0.920041473,0.142491207,0.951904762,0.976970684,0.984276527
2,0.959991693,0.119411804,0.983870968,0.993485342,0.988654781
3,0.969941974,0.085534304,0.986970684,0.986970684,0.986970684
4,0.972222209,0.072771393,0.987012987,0.990228013,0.988617886
5,0.981550574,0.051391006,0.993311037,0.96742671,0.98019802
6,0.983416259,0.04640533,1,0.96742671,0.983443709
7,0.987769485,0.03627364,0.99339934,0.980456026,0.986885246
9,0.988391399,0.031166807,0.993464052,0.990228013,0.991843393
10,0.992330015,0.020926382,0.993421053,0.983713355,0.988543372
Average,0.990671635,0.027625553,0.952978056,0.990228013,0.971246006
